Movement direction;Set robot speed along X axis;Set robot speed along Y axis;Set rotational robot velocity;1st motor set speed;2st motor set speed;3st motor set speed;1st motor position;2nd motor position;3rd motor position;1st motor velocity;2nd motor velocity;3rd motor velocity;1st motor current;2nd motor current;3rd motor current;X axis current;Y axis curent;Rotational current;X axis global position;Y axis global position;Angle;Delta X axis local position;Delta Y axis local position;Delta angle;Robot speed along X axis;Robot speed along Y axis;Robot rotational velocity;Wheel 1 velocity;Wheel 1 effective velocity;Wheel 1 slippage;Motor 1 voltage;Motor 1 torque;Wheel 2 velocity;Wheel 2 effective velocity;Wheel 2 slippage;Motor 2 voltage;Motor 2 torque;Wheel 3 velocity;Wheel 3 effective velocity;Wheel 3 slippage;Motor 3 voltage;Motor 3 torque;
degree;m/s;m/s;rad/s;rad/s;rad/s;rad/s;ticks;ticks;ticks;rad/s;rad/s;rad/s;A;A;A;A;A;A;pix;pix;deg;mm;mm;deg;mm/s;mm/s;deg/s;rpm;rpm;none;V;Nm;rpm;rpm;none;V;Nm;rpm;rpm;none;V;Nm;
movedir;xsetspeed;ysetspeed;setvel;m1setvel;m2setvel;m3setvel;m1pos;m2pos;m3pos;m1vel;m2vel;m3vel;m1cur;m2cur;m3cur;xcur;ycur;rotcur;xpos;ypos;ang;dx;dy;dang;vx;vy;omega;w1vel;w1effvel;w1slip;m1vol;m1tor;w2vel;w2effvel;w2slip;m2vol;m2tor;w3vel;w3effvel;w3slip;m3vol;m3tor
0;0.1;0;0;-34.641;0;34.641;-23383;-6;23386;-31.1018;0;33.9292;0.307692;0;0.230769;0.310692;-0.0256154;0.179487;877.76;820.582;357.614;2.79403;1.0865;-0.772405;87.3953706599943;0;0;-1.9438625;-1.89216530185694;0.0265950900040829;-3.2000754612;-0.0316585412679507;0;0;0;0;NaN;2.120575;1.89216530185694;0.107711209527162;2.9312593809;0.0199369214738606
0;0.1;0;0;-34.641;0;34.641;-24116;-8;24123;-33.9292;0;36.7566;0.282051;0;0.179487;0.266308;-0.0341539;0.153846;878.207;817.45;358.386;2.83571;0.0798792;0.80597;95.8333896586695;0;0;-2.120575;-2.0748538249996;0.0215607441379801;-3.2049052611;-0.0266421469942856;0;0;0;0;NaN;2.2972875;2.0748538249996;0.0968244832222336;2.7992662407;0.0136691614497674
0;0.1;0;0;-34.641;0;34.641;-25400;-8;25415;-33.9292;0;33.9292;0.205128;0;0.153846;0.207128;-0.0170769;0.119658;878.207;811.185;358.386;2.80842;1.04874;0;90.6234269119064;0;0;-2.120575;-1.96205470492292;0.074753448982981;-2.7944364408;-0.01689450851268;0;0;0;0;NaN;2.120575;1.96205470492292;0.074753448982981;2.5207905606;0.0114300821883825
0;0.1;0;0;-34.641;0;34.641;-25593;-7;25591;-31.1018;0;31.1018;0.282051;0;0.205128;0.281103;-0.0256154;0.162393;878.207;809.842;358.386;2.83571;0.0798792;0;88.5329378707456;0;0;-1.9438625;-1.91679428219702;0.0139249652704251;-3.0632525211;-0.0277795316293197;0;0;0;0;NaN;1.9438625;1.91679428219702;0.0139249652704251;2.6527837008;0.0174961003857559
0;0.1;0;0;-34.641;0;34.641;-28522;-3;28483;-33.9292;0;33.9292;0.128205;0.025641;0.282051;0.236718;0.0512308;0.145299;877.76;798.207;357.614;2.79403;1.0865;-0.772405;91.4875573018979;0;0;-2.120575;-1.98076367789683;0.0659308546517663;-2.3839676205;-0.00900806882526563;0;0;0;0;NaN;2.120575;1.98076367789683;0.0659308546517663;3.2049052611;0.0266421469942856
0;0.1;0;0;-34.641;0;34.641;-29605;-17;29582;-33.9292;0;33.9292;0.410256;0.025641;0.25641;0.384667;-0.0512308;0.230769;877.312;792.837;356.82;1.83455;1.07265;-0.760321;61.2128795462133;0;0;-2.120575;-1.32529768197493;0.375029092592843;-3.8890199616;-0.04702420845072;0;0;0;0;NaN;2.120575;1.32529768197493;0.375029092592843;3.068082321;0.0231861343010625
0;0.1;0;0;-34.641;0;34.641;-30507;-15;30487;-33.9292;0;33.9292;0.179487;0;0.282051;0.266308;0.0341539;0.153846;877.76;788.362;357.58;2.79339;1.08814;-0.80597;89.5604360371913;0;0;-2.120575;-1.93904019941467;0.0856064041994892;-2.6576135007;-0.0140588954175206;0;0;0;0;NaN;2.120575;1.93904019941467;0.0856064041994892;3.2049052611;0.0266421469942856
0;0.1;0;0;-34.641;0;34.641;-31229;-11;31206;-33.9292;0;31.1018;0.384615;0;0.384615;0.443846;0;0.25641;878.207;785.23;358.386;2.83571;0.0798792;0.80597;88.2299315494714;0;0;-2.120575;-1.91023411748383;0.0991904943311006;-3.7521970215;-0.0425341964273906;0;0;0;0;NaN;1.9438625;1.91023411748383;0.0172997742979113;3.6105442815;0.044649167856173
0;0.1;0;0;-34.641;0;34.641;-31595;-10;31570;-31.1018;0;31.1018;0.384615;0;0.205128;0.340282;-0.0597692;0.196581;878.207;783.888;357.58;2.83431;0.119759;-0.80597;88.9334797615315;0;0;-1.9438625;-1.92546626707562;0.00946375215550677;-3.6105442815;-0.044649167856173;0;0;0;0;NaN;1.9438625;1.92546626707562;0.00946375215550677;2.6527837008;0.0174961003857559
0;0.1;0;0;-34.641;0;34.641;-34850;-11;34843;-31.1018;0;33.9292;0.538462;0;0.25641;0.458641;-0.0939231;0.264957;877.312;769.567;356.775;1.77919;2.04179;-0.805013;55.6692740926157;0;0;-1.9438625;-1.20527517020508;0.379958628655535;-4.4314872582;-0.0767218454245378;0;0;0;0;NaN;2.120575;1.20527517020508;0.431628133782073;3.068082321;0.0231861343010625
0;0.1;0;0;-34.641;0;34.641;-35755;-11;35762;-31.1018;0;31.1018;0.179487;0;0.025641;0.118359;-0.0512308;0.0683761;877.76;765.092;357.58;1.84862;1.04822;0;58.0961659333758;0;0;-1.9438625;-1.25781890574867;0.352928046223091;-2.5159607607;-0.0145194891953444;0;0;0;0;NaN;1.9438625;1.25781890574867;0.352928046223091;1.6950231201;0.00139741390602744
0;0.1;0;0;-34.641;0;34.641;-37038;1;37023;-36.7566;0;33.9292;0.0512821;0.025641;0.282051;0.192333;0.0768462;0.119658;878.207;760.618;357.58;2.83431;0.119759;-0.80597;91.2233665915669;0;0;-2.2972875;-1.97504380708659;0.140271382190263;-2.11515207381;-0.00295101941323005;0;0;0;0;NaN;2.120575;1.97504380708659;0.0686281753361302;3.2049052611;0.0266421469942856
0;0.1;0;0;-34.641;0;34.641;-38678;3;38654;-31.1018;0;31.1018;0.205128;0;0.461538;0.384667;0.0853846;0.222222;877.76;753.457;357.614;1.80888;2.01553;-0.772405;57.958346683756;0;0;-1.9438625;-1.25483503348432;0.354463068512143;-2.6527837008;-0.0174961003857559;0;0;0;0;NaN;1.9438625;1.25483503348432;0.354463068512143;4.0210131018;0.0596701909528892
0;0.1;0;0;-34.641;0;34.641;-39596;-5;39575;-31.1018;0;33.9292;0.358974;0;0.153846;0.295897;-0.0683077;0.17094;877.76;748.983;357.58;2.79339;1.08814;-0.80597;89.6179018286825;0;0;-1.9438625;-1.94028456143401;0.0018406335664134;-3.4737213414;-0.0400933593813774;0;0;0;0;NaN;2.120575;1.94028456143401;0.0850196001395811;2.5207905606;0.0114300821883825
0;0.1;0;0;-34.641;0;34.641;-40133;-9;40118;-33.9292;0;28.2743;0.282051;0;0.205128;0.281103;-0.0256154;0.162393;877.76;746.298;357.58;1.8077;2.01659;-0.80597;57.8834454050592;0;0;-2.120575;-1.25321336811754;0.409021907681861;-3.2049052611;-0.0266421469942856;0;0;0;0;NaN;1.76714375;1.25321336811754;0.290825453154256;2.5111259508;0.0182180370172101
0;0.1;0;0;-34.641;0;34.641;-41042;-9;41015;-33.9292;0;31.1018;0.205128;0;0.230769;0.251513;0.00853845;0.145299;878.207;741.822;357.58;2.83431;0.119759;-0.80597;87.7767110560546;0;0;-2.120575;-1.90042143413132;0.103817863489233;-2.7944364408;-0.01689450851268;0;0;0;0;NaN;1.9438625;1.90042143413132;0.0223478079692775;2.7896066409;0.0206983111882223
0;0.1;0;0;-34.641;0;34.641;-41950;-7;41909;-31.1018;0;28.2743;0.358974;0;0.410256;0.443846;0.0170769;0.25641;878.207;739.138;356.73;1.83285;1.07556;-1.65695;56.9208074534149;0;0;-1.9438625;-1.23237160258463;0.366019148687403;-3.4737213414;-0.0400933593813774;0;0;0;0;NaN;1.76714375;1.23237160258463;0.302619493980253;3.6057094716;0.0523183224688402
0;0.1;0;0;-34.641;0;34.641;-42693;-7;42638;-33.9292;0;31.1018;0.102564;0;0.358974;0.266308;0.0853846;0.153846;878.207;736.005;356.775;2.77783;1.12727;-0.770491;88.8337064278875;0;0;-2.120575;-1.92330631027351;0.0930260376202175;-2.2471446804;-0.00679285532817;0;0;0;0;NaN;1.9438625;1.92330631027351;0.0105749196388596;3.4737213414;0.0400933593813774
0;0.1;0;0;-34.641;0;34.641;-43595;-8;43553;-31.1018;0;33.9292;0.307692;0;0.153846;0.266308;-0.0512308;0.153846;877.76;731.53;356.82;2.72494;2.09286;-1.56629;85.7978589420649;0;0;-1.9438625;-1.85757822956883;0.0443880523602703;-3.2000754612;-0.0316585412679507;0;0;0;0;NaN;2.120575;1.85757822956883;0.124021442500815;2.5207905606;0.0114300821883825
0;0.1;0;0;-34.641;0;34.641;-44490;-5;44458;-31.1018;0;31.1018;0.205128;0;0.25641;0.266308;0.0170769;0.153846;878.207;727.503;357.58;1.84862;1.04822;-0.80597;60.0006491398889;0;0;-1.9438625;-1.29905212956366;0.331716039810604;-2.6527837008;-0.0174961003857559;0;0;0;0;NaN;1.9438625;1.29905212956366;0.331716039810604;2.926429581;0.0241261216027436
0;0.1;0;0;-34.641;0;34.641;-45765;-14;45738;-31.1018;0;33.9292;0.358974;0.025641;0.0769231;0.251513;-0.0939231;0.153846;877.76;723.028;357.58;1.8077;2.01659;-0.80597;59.1137998691957;0;0;-1.9438625;-1.27985130402592;0.341593706331636;-3.4737213414;-0.0400933593813774;0;0;0;0;NaN;2.120575;1.27985130402592;0.396460250627344;2.11032227391;0.00478444912665805
0;0.1;0;0;-34.641;0;34.641;-50152;-5;50092;-33.9292;0;31.1018;0.128205;0;0.487179;0.355077;0.119538;0.205128;878.655;704.233;357.58;1.88954;0.0798397;0.0345225;62.9007989347537;0;0;-2.120575;-1.36184227753278;0.357795749958014;-2.3839676205;-0.00900806882526563;0;0;0;0;NaN;1.9438625;1.36184227753278;0.299414296261806;4.1578360419;0.0651283978759043
0;0.1;0;0;-34.641;0;34.641;-51604;-15;51535;-31.1018;0;31.1018;0.307692;0;0.358974;0.384667;0.0170769;0.222222;878.207;696.625;356.775;2.77783;1.12727;-0.805013;86.7800687285217;0;0;-1.9438625;-1.87884363745214;0.0334482827606665;-3.2000754612;-0.0316585412679507;0;0;0;0;NaN;1.9438625;1.87884363745214;0.0334482827606665;3.4737213414;0.0400933593813774
0;0.1;0;0;-34.641;0;34.641;-52513;-10;52435;-33.9292;0;31.1018;0.333333;0;0.25641;0.340282;-0.0256154;0.196581;878.655;692.597;357.58;1.88954;0.0798397;0.0345225;62.1763738071727;0;0;-2.120575;-1.3461579231879;0.365192024244415;-3.4785511413;-0.0341745719787956;0;0;0;0;NaN;1.9438625;1.3461579231879;0.307482950472114;2.926429581;0.0241261216027436
0;0.1;0;0;-34.641;0;34.641;-53231;-9;53150;-33.9292;0;31.1018;0.435897;0;0.358974;0.458641;-0.0256154;0.264957;878.655;689.913;357.58;1.88954;0.0798397;0.0345225;61.4484552845528;0;0;-2.120575;-1.33039806822611;0.372623902372654;-4.0258429017;-0.0517210203400706;0;0;0;0;NaN;1.9438625;1.33039806822611;0.315590445195527;3.4737213414;0.0400933593813774
0;0.1;0;0;-34.641;0;34.641;-56284;-14;56264;-31.1018;0;33.9292;0.358974;0;0.153846;0.295897;-0.0683077;0.17094;878.655;676.487;357.58;2.83431;0.119759;0;88.5998749609259;0;0;-1.9438625;-1.91824357446224;0.0131793918231153;-3.4737213414;-0.0400933593813774;0;0;0;0;NaN;2.120575;1.91824357446224;0.0954134730145175;2.5207905606;0.0114300821883825
0;0.1;0;0;-34.641;0;34.641;-56469;-14;56440;-31.1018;0;31.1018;0.358974;0;0.205128;0.325487;-0.0512308;0.188034;878.655;675.145;357.614;2.83438;0.118099;0.0335652;88.3259582424427;0;0;-1.9438625;-1.91231318076782;0.0162302216500272;-3.4737213414;-0.0400933593813774;0;0;0;0;NaN;1.9438625;1.91231318076782;0.0162302216500272;2.6527837008;0.0174961003857559
0;0.1;0;0;-34.641;0;34.641;-59949;2;59878;-33.9292;0;33.9292;0.282051;0;0.179487;0.266308;-0.0341539;0.153846;879.102;660.378;356.73;1.83285;1.07556;-0.816456;59.143272023232;0;0;-2.120575;-1.28048936413359;0.396159360487797;-3.2049052611;-0.0266421469942856;0;0;0;0;NaN;2.120575;1.28048936413359;0.396159360487797;2.6576135007;0.0140588954175206
